LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
430670                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.21                9.43                9.44                0.21                -29.622000          -53.357000          F 
430160                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             12                  7.94                1.51                1.51                7.94                -31.331000          -54.107000          F 
431020                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             12                  5.68                2.11                2.12                5.68                -28.388000          -53.915000          F 
430900                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   1.13                1.77                1.77                1.13                -28.028000          -54.350000          F 
430500                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             3                   0.63                4.79                4.79                0.63                -28.250000          -54.012000          F 
431507                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.10                0                   0                   0.10                -27.736000          -54.901000          F 
431790                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             3                   1.03                2.90                2.90                1.03                -27.824000          -54.663000          F 
431447                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.31                0                   0                   0.31                -29.346000          -53.307000          F 
430010                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   1.17                1.72                1.72                1.17                -29.645000          -53.240000          F 
430610                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             3                   3.96                0.76                0.76                3.96                -28.639000          -53.606000          F 
431720                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             11                  4.99                2.20                2.20                4.99                -27.871000          -54.481000          F 
430003                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.35                0                   0                   0.35                -31.515500          -54.100200          F 
430258                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.15                0                   0                   0.15                -28.368000          -53.771000          F 
431402                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.53                3.74                3.74                0.53                -29.669000          -53.149000          F 
430223                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.18                0                   0                   0.18                -28.819000          -53.387000          F 
431430                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.28                3.51                3.51                0.28                -28.423000          -53.656000          F 
430030                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.45                4.49                4.49                0.45                -27.655000          -54.764000          F 
430965                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.44                2.27                2.27                0.44                -31.404000          -53.869000          F 
