cod_mun;ESPACIAL_CLUSTER;ESPACIAL_P_VALUE;ESPACIAL_CLU_OBS;ESPACIAL_CLU_EXP;ESPACIAL_CLU_ODE;ESPACIAL_CLU_RR;ESPACIAL_CLU_POP;ESPACIAL_LOC_OBS;ESPACIAL_LOC_EXP;ESPACIAL_LOC_ODE;ESPACIAL_LOC_RR;ESPACIAL_LOC_POP;ESPACIAL_CLU_RISCO;ESPACIAL_DATA_REF
431505;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,18;0;0;0,18;Alto risco;2019
432180;1;1E-17;2458;1331,11;1,85;2,03;1331,11;7;1,65;4,24;4,24;1,65;Alto risco;2019
432070;1;1E-17;2458;1331,11;1,85;2,03;1331,11;6;1,03;5,84;5,84;1,03;Alto risco;2019
431123;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,2;4,97;4,97;0,2;Alto risco;2019
432210;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,4;0;0;0,4;Alto risco;2019
430845;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,3;3,31;3,31;0,3;Alto risco;2019
431041;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,15;0;0;0,15;Alto risco;2019
430540;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,26;0;0;0,26;Alto risco;2019
431339;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,29;3,42;3,42;0,29;Alto risco;2019
432026;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,51;1,95;1,95;0,51;Alto risco;2019
430045;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,26;3,89;3,89;0,26;Alto risco;2019
431342;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,24;0;0;0,24;Alto risco;2019
431406;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,4;2,52;2,52;0,4;Alto risco;2019
430513;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,34;2,98;2,98;0,34;Alto risco;2019
431390;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;2,94;1,02;1,02;2,94;Alto risco;2019
431087;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,19;0;0;0,19;Alto risco;2019
431333;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,16;0;0;0,16;Alto risco;2019
430960;1;1E-17;2458;1331,11;1,85;2,03;1331,11;5;1,32;3,79;3,79;1,32;Alto risco;2019
431849;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,16;6,4;6,4;0,16;Alto risco;2019
430300;1;1E-17;2458;1331,11;1,85;2,03;1331,11;10;5,53;1,81;1,81;5,53;Alto risco;2019
430435;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,63;0;0;0,63;Alto risco;2019
431700;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,58;3,44;3,45;0,58;Alto risco;2019
430570;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,45;0;0;0,45;Alto risco;2019
432215;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,32;0;0;0,32;Alto risco;2019
431535;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,26;3,82;3,82;0,26;Alto risco;2019
431973;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,18;0;0;0,18;Alto risco;2019
430220;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,49;0;0;0,49;Alto risco;2019
430410;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,24;0;0;0,24;Alto risco;2019
430673;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,34;0;0;0,34;Alto risco;2019
430420;1;1E-17;2458;1331,11;1,85;2,03;1331,11;12;2,12;5,66;5,66;2,12;Alto risco;2019
431780;1;1E-17;2458;1331,11;1,85;2,03;1331,11;5;0,94;5,29;5,29;0,94;Alto risco;2019
431910;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;0,39;7,73;7,73;0,39;Alto risco;2019
431000;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;1,4;1,43;1,43;1,4;Alto risco;2019
431301;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,19;10,29;10,29;0,19;Alto risco;2019
431670;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,56;0;0;0,56;Alto risco;2019
430055;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,12;0;0;0,12;Alto risco;2019
431125;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,44;0;0;0,44;Alto risco;2019
432023;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,2;4,88;4,88;0,2;Alto risco;2019
432253;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,84;2,39;2,39;0,84;Alto risco;2019
431417;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,13;0;0;0,13;Alto risco;2019
430600;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,95;2,11;2,11;0,95;Alto risco;2019
432030;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,36;0;0;0,36;Alto risco;2019
430970;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,33;3,01;3,01;0,33;Alto risco;2019
430400;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,31;0;0;0,31;Alto risco;2019
431643;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,19;0;0;0,19;Alto risco;2019
431450;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,84;2,37;2,37;0,84;Alto risco;2019
430560;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,23;4,39;4,39;0,23;Alto risco;2019
430957;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,2;0;0;0,2;Alto risco;2019
430590;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,49;2,03;2,03;0,49;Alto risco;2019
430750;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;1,07;1,86;1,86;1,07;Alto risco;2019
432100;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;0,71;4,21;4,21;0,71;Alto risco;2019
430237;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,14;0;0;0,14;Alto risco;2019
432147;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,41;2,44;2,44;0,41;Alto risco;2019
430260;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,23;0;0;0,23;Alto risco;2019
431127;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,12;0;0;0,12;Alto risco;2019
431540;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,71;1,41;1,41;0,71;Alto risco;2019
432190;1;1E-17;2458;1331,11;1,85;2,03;1331,11;6;1,7;3,54;3,54;1,7;Alto risco;2019
430915;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,28;7,19;7,19;0,28;Alto risco;2019
431460;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;1,44;2,08;2,08;1,44;Alto risco;2019
432067;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,72;2,76;2,76;0,72;Alto risco;2019
432270;1;1E-17;2458;1331,11;1,85;2,03;1331,11;11;1,83;6,02;6,02;1,83;Alto risco;2019
431370;1;1E-17;2458;1331,11;1,85;2,03;1331,11;6;2,21;2,71;2,71;2,21;Alto risco;2019
430200;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,75;2,66;2,66;0,75;Alto risco;2019
430745;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,21;0;0;0,21;Alto risco;2019
430642;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,14;0;0;0,14;Alto risco;2019
431265;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;1,21;2,47;2,47;1,21;Alto risco;2019
431242;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,21;0;0;0,21;Alto risco;2019
431680;1;1E-17;2458;1331,11;1,85;2,03;1331,11;21;8,78;2,39;2,39;8,78;Alto risco;2019
432320;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,2;0;0;0,2;Alto risco;2019
430690;1;1E-17;2458;1331,11;1,85;2,03;1331,11;5;1,77;2,82;2,82;1,77;Alto risco;2019
431230;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,34;2,93;2,93;0,34;Alto risco;2019
430530;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,66;3,01;3,01;0,66;Alto risco;2019
430245;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,52;3,83;3,83;0,52;Alto risco;2019
431570;1;1E-17;2458;1331,11;1,85;2,03;1331,11;4;2,6;1,54;1,54;2,6;Alto risco;2019
431395;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,61;3,29;3,29;0,61;Alto risco;2019
431936;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,14;0;0;0,14;Alto risco;2019
432140;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;0,9;3,32;3,32;0,9;Alto risco;2019
430730;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,47;4,27;4,27;0,47;Alto risco;2019
431349;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,29;3,46;3,46;0,29;Alto risco;2019
432080;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;2,09;1,43;1,43;2,09;Alto risco;2019
430047;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,14;0;0;0,14;Alto risco;2019
430470;1;1E-17;2458;1331,11;1,85;2,03;1331,11;13;4,11;3,16;3,16;4,11;Alto risco;2019
430215;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,14;0;0;0,14;Alto risco;2019
430632;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,2;5,08;5,08;0,2;Alto risco;2019
432146;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,21;0;0;0,21;Alto risco;2019
430710;1;1E-17;2458;1331,11;1,85;2,03;1331,11;4;0,46;8,67;8,67;0,46;Alto risco;2019
431295;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,13;7,65;7,66;0,13;Alto risco;2019
431775;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,14;0;0;0,14;Alto risco;2019
