LATITUDE,LONGITUDE,TAXA_HABITANTE
-7.266,-43.93,0.92
-2.879,-41.667,1.25
-3.458,-42.37,0.55
-3.483,-42.504,0.61
-8.013,-43.872,3.79
-7.443,-40.661,2.19
-7.121,-43.894,1.53
-7.463,-41.126,0.3
-3.716,-42.556,0.38
-4.166,-42.895,0.54
-4.684,-41.422,0.53
-5.564,-42.608,0.48
-6.996,-41.03,2.38
-9.754,-45.304,3.11
-9.725,-43.901,2.36
-3.743,-42.312,1.04
-6.973,-42.672,0.59
-4.631,-42.173,1.53
-3.979,-42.621,0.35
-6.449,-41.939,0.54
-5.288,-41.933,0.84
-7.025,-42.131,2.24
-5.841,-42.575,1.73
-7.355,-40.904,0.75
-7.778,-42.256,2.12
-7.856,-42.822,0.85
-8.727,-44.236,1.97
-5.978,-43.063,0.14
-10.227,-44.639,0.36
-2.905,-41.777,0.68
-5.858,-42.44,1.54
-7.668,-41.244,1.74
-8.144,-41.15,1.83
-4.425,-41.459,1
-8.087,-42.052,1.45
-7.077,-41.467,1.98
-6.245,-41.419,1.1
-6.838,-40.579,2.24
-3.928,-41.709,0.57
-4.273,-41.777,1.68
-3.893,-42.71,0.91
-5.667,-42.207,3.75
-8.579,-41.419,0.9
-9.487,-44.586,1.06
-6.238,-42.688,0.69
-10.125,-44.953,1.08
-7.558,-45.242,1.19
-7.775,-43.142,1.43
-7.185,-41.768,1.62
-5.804,-41.956,2.47
-9.112,-45.922,1.6
-8.954,-44.129,0.89
-6.948,-41.519,3.05
-6.799,-42.288,1.52
-6.981,-41.234,3.03
-7.43,-41.911,3.51
-5.933,-42.114,2.69
-7.251,-42.543,1.99
-10.03,-45.303,1.43
-5.993,-42.703,2.84
-6.817,-41.343,0.27
-5.514,-41.899,1.4
-6.942,-41.89,1.54
-8.358,-42.247,0.86
-7.494,-42.564,0.79
-6.872,-41.475,1.21
-7.085,-40.826,5.27
-9.169,-42.545,0.65
-7.586,-42.37,0.91
-5.504,-41.323,2.17
-5.929,-42.719,0.3
-9.015,-42.699,0.88
-10.817,-44.834,1.64
-7.566,-44.064,0.95
-4.918,-41.732,2.28
-7.599,-40.818,1.99
-7.854,-41.91,1.99
-7.866,-42.491,3.45
-7.043,-41.384,1.34
-8.4,-42.914,2.1
-6.6,-42.282,2.13
-5.089,-42.802,1.21
-4.586,-42.864,1.47
-7.229,-44.556,1.8
-6.408,-41.746,1.22
-9.239,-42.964,0.55
-6.545,-42.246,1.57
-7.603,-41.483,1.17
-7.136,-40.94,3.08
-7.233,-41.91,1.93
-7.359,-39.046,0.44
-4.224,-38.708,0.71
-2.886,-40.12,1.29
-6.095,-39.453,0.99
-6.574,-40.124,1.27
-3.589,-40.546,2.05
-7.002,-39.741,1.44
-5.521,-38.272,0.98
-3.361,-39.831,0.18
-6.775,-39.989,0.55
-3.949,-39.432,1.9
-3.901,-38.391,1.11
-4.562,-37.77,0.9
-4.371,-38.814,1.55
-4.753,-40.833,2.34
-7.213,-40.046,0.5
-4.418,-39.045,2.57
-6.324,-40.161,0.99
-6.874,-39.875,0.64
-6.943,-38.968,1.26
-6.73,-38.717,0.9
-5.31,-38.921,0.87
-7.305,-39.302,0.44
-4.287,-38.643,1.31
-7.177,-38.782,0.25
-3.019,-41.137,1.73
-4.329,-38.885,0.33
-4.18,-38.131,1.22
-3.051,-40.168,0.6
-5.128,-39.732,1.59
-7.493,-38.985,0.94
-2.902,-40.841,1.11
-7.074,-40.376,0.61
-4.359,-39.312,1.68
-4.47,-38.901,0.23
-4.232,-39.193,1.37
-3.951,-40.473,0.39
-7.042,-39.284,0.66
-6.537,-39.497,0.91
-4.167,-40.943,2.24
-4.131,-38.236,0.66
-6.131,-39.878,0.75
-4.648,-40.201,1.53
-3.733,-38.656,0.81
-6.607,-39.062,0.77
-3.034,-41.244,0.56
-4.843,-39.141,0.73
-4.3,-38.497,1.08
-3.533,-40.657,0.75
-5.178,-40.678,1.32
-7.234,-39.409,0.97
-4.4,-40.911,0.29
-2.918,-40.172,1.86
-5.917,-39.268,1.21
-6.032,-38.349,0.4
-3.89,-38.451,0.4
-6.931,-39.566,1.2
-3.798,-40.261,0.95
-3.717,-38.543,0.94
-4.452,-37.797,0.33
-3.76,-40.816,0.54
-4.053,-39.454,2.53
-4.046,-40.753,0.77
-3.12,-40.826,1.46
-6.888,-39.218,0.76
-3.913,-40.383,0.65
-4.04,-38.637,2.39
-4.167,-40.748,0.93
-4.408,-40.438,0.68
-4.099,-38.496,0.74
-4.804,-38.753,1.65
-3.923,-40.889,1.1
-4.974,-38.639,1.67
-4.713,-37.355,0.68
-6.401,-38.862,1.13
-6.359,-39.299,1.14
-5.396,-40.309,1.29
-4.9,-40.759,1.26
-6.79,-38.719,0.65
-4.322,-40.711,1.39
-4.542,-40.719,1.15
-5.812,-38.306,1.37
-3.746,-39.783,0.94
-3.969,-38.528,1.15
-3.687,-39.586,2.12
-3.494,-39.579,0.64
-4.564,-38.922,0.97
-2.92,-39.915,1.06
-4.529,-39.622,1.34
-5.613,-38.767,1.06
-5.658,-38.62,0.45
-5.891,-38.622,0.82
-4.834,-37.781,2.32
-7.582,-39.298,0.62
-7.686,-39.016,0.2
-2.794,-40.513,1.62
-7.213,-39.315,0.63
-6.525,-39.528,0.95
-6.753,-38.972,0.68
-5.146,-38.098,0.99
-4.857,-39.577,0.89
-3.877,-38.626,1.53
